synaptic_scale,threshold,odor_channel,stimulus_side,dn_type,left_spikes,right_spikes,ipsilateral_rate,contralateral_rate,lateral_selectivity,total_population_spikes,peak_population_fraction,late_spike_fraction
0.016,1.0,ORN_VA2,R,DNa02,3,12,0.12,0.03,0.6,251182,0.02662879567834692,0.5381635626756694
0.016,1.0,ORN_VA2,R,DNg13,0,2,0.02,0.0,1.0,251182,0.02662879567834692,0.5381635626756694
0.016,1.2,ORN_DM1,L,DNa01,0,1,0.0,0.01,-1.0,198025,0.019185814125313404,0.5497184698901654
0.016,1.2,ORN_DM1,L,DNa02,10,2,0.1,0.02,0.6666666666666666,198025,0.019185814125313404,0.5497184698901654
0.016,1.2,ORN_DM1,L,DNg13,0,1,0.0,0.01,-1.0,198025,0.019185814125313404,0.5497184698901654
0.016,1.2,ORN_DM1,R,DNa01,0,0,0.0,0.0,0.0,191405,0.01873160451060428,0.5673937462448735
0.016,1.2,ORN_DM1,R,DNa02,8,6,0.06,0.08,-0.14285714285714288,191405,0.01873160451060428,0.5673937462448735
0.016,1.2,ORN_DM1,R,DNg13,0,1,0.01,0.0,1.0,191405,0.01873160451060428,0.5673937462448735
0.016,1.2,ORN_VA2,L,DNa01,0,1,0.0,0.01,-1.0,190067,0.024260849553663352,0.5228892969321345
0.016,1.2,ORN_VA2,L,DNa02,2,2,0.02,0.02,0.0,190067,0.024260849553663352,0.5228892969321345
0.016,1.2,ORN_VA2,L,DNg13,1,1,0.01,0.01,0.0,190067,0.024260849553663352,0.5228892969321345
0.016,1.2,ORN_VA2,R,DNa01,0,0,0.0,0.0,0.0,209544,0.01888300771550732,0.5210170656282213
0.016,1.2,ORN_VA2,R,DNa02,1,0,0.0,0.01,-1.0,209544,0.01888300771550732,0.5210170656282213
0.016,1.2,ORN_VA2,R,DNg13,0,1,0.01,0.0,1.0,209544,0.01888300771550732,0.5210170656282213
